Price,Close,High,Low,Open,Volume
Ticker,IDXX,IDXX,IDXX,IDXX,IDXX
Date,,,,,
2025-05-05,475.07000732421875,482.2799987792969,466.739990234375,471.8999938964844,1208500
2025-05-06,473.7099914550781,479.7200012207031,465.0,470.4200134277344,890200
2025-05-07,486.6099853515625,488.489990234375,471.739990234375,473.7099914550781,667500
2025-05-08,489.9800109863281,495.55999755859375,485.4100036621094,487.1400146484375,865600
2025-05-09,491.70001220703125,493.7699890136719,487.29998779296875,490.32000732421875,668600
2025-05-12,509.5299987792969,509.8399963378906,498.5299987792969,500.0,692600
2025-05-13,509.1300048828125,512.719970703125,504.20001220703125,508.9599914550781,558400
2025-05-14,509.4200134277344,510.7200012207031,503.7200012207031,507.0,552600
2025-05-15,511.989990234375,513.3300170898438,505.0,508.0799865722656,469400
2025-05-16,518.0999755859375,518.4099731445312,509.07000732421875,514.0499877929688,524900
2025-05-19,521.6799926757812,521.72998046875,508.57000732421875,511.8299865722656,427600
2025-05-20,517.1599731445312,523.47998046875,513.9299926757812,517.8800048828125,606900
2025-05-21,500.8699951171875,518.1500244140625,498.7799987792969,513.739990234375,664500
2025-05-22,504.8299865722656,508.0199890136719,497.0199890136719,499.239990234375,555000
2025-05-23,501.57000732421875,502.17999267578125,496.6099853515625,498.0,443600
2025-05-27,516.5,517.7999877929688,505.80999755859375,507.0299987792969,636600
2025-05-28,514.3300170898438,516.6500244140625,507.75,514.9000244140625,479100
2025-05-29,515.5499877929688,520.0,510.6400146484375,518.0700073242188,362400
2025-05-30,513.3599853515625,515.9199829101562,506.2799987792969,514.27001953125,1221800
2025-06-02,514.7999877929688,514.8499755859375,504.55999755859375,508.7200012207031,501700
2025-06-03,525.8300170898438,526.3599853515625,510.989990234375,513.5499877929688,608800
2025-06-04,524.8599853515625,530.72998046875,524.7100219726562,526.3200073242188,503300
2025-06-05,522.2100219726562,526.4500122070312,520.9500122070312,524.8599853515625,453200
2025-06-06,524.9099731445312,526.2100219726562,522.280029296875,525.5800170898438,265300
2025-06-09,518.5999755859375,525.6199951171875,513.5399780273438,523.4000244140625,328200
2025-06-10,525.9299926757812,525.9299926757812,517.4400024414062,519.4099731445312,402500
2025-06-11,524.1799926757812,528.3800048828125,520.8800048828125,526.3099975585938,374100
2025-06-12,526.9199829101562,528.2000122070312,520.6500244140625,524.1799926757812,379300
2025-06-13,522.7000122070312,526.0900268554688,519.010009765625,520.9600219726562,411500
2025-06-16,528.77001953125,530.1199951171875,522.4199829101562,525.9099731445312,371800
2025-06-17,520.5900268554688,526.8800048828125,513.9199829101562,526.8800048828125,430600
2025-06-18,519.8499755859375,524.7000122070312,515.0,518.6199951171875,590900
2025-06-20,523.9199829101562,525.1799926757812,517.1400146484375,519.8499755859375,1052500
